Slot,Days,Start,End,Type
MWF-0830,MWF,08:30,09:20,Lecture
MWF-0935,MWF,09:35,10:25,Lecture
MWF-1040,MWF,10:40,11:30,Lecture
MWF-1145,MWF,11:45,12:35,Lecture
MWF-1250,MWF,12:50,13:40,Lecture
MWF-1355,MWF,13:55,14:45,Lecture
MWF-1500,MWF,15:00,15:50,Lecture
MWF-1605,MWF,16:05,16:55,Lecture
TTH-0830,TTH,08:30,09:45,Lecture
TTH-1000,TTH,10:00,11:15,Lecture
TTH-1130,TTH,11:30,12:45,Lecture
TTH-1300,TTH,13:00,14:15,Lecture
TTH-1430,TTH,14:30,15:45,Lecture
TTH-1600,TTH,16:00,17:15,Lecture
M-0830,M,08:30,10:20,Lab
M-1035,M,10:35,12:25,Lab
M-1240,M,12:40,14:30,Lab
M-1445,M,14:45,16:35,Lab
T-0830,T,08:30,10:20,Lab
T-1035,T,10:35,12:25,Lab
T-1240,T,12:40,14:30,Lab
T-1445,T,14:45,16:35,Lab
W-0830,W,08:30,10:20,Lab
W-1035,W,10:35,12:25,Lab
W-1240,W,12:40,14:30,Lab
W-1445,W,14:45,16:35,Lab
TH-0830L,TH,08:30,10:20,Lab
TH-1035,TH,10:35,12:25,Lab
TH-1240,TH,12:40,14:30,Lab
TH-1445,TH,14:45,16:35,Lab
F-0830,F,08:30,10:20,Lab
F-1035,F,10:35,12:25,Lab
F-1240,F,12:40,14:30,Lab
F-1445,F,14:45,16:35,Lab
